"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01 10:40:28.000,yandex,cpc,prof-frontend,1,637843,1,1,237990
2023-06-01 14:39:00.000,yandex,cpc,base-frontend,1,9543,1,1,201150
2023-06-01 04:58:00.000,vk,cpc,freemium-frontend,1,8442,1,1,189210
2023-06-01 10:44:00.000,yandex,cpc,freemium,1,23556,1,1,188991
2023-06-01 14:57:00.000,yandex,cpc,prof-frontend,1,25884,1,1,180306
2023-06-01 03:36:00.000,vk,cpc,prof-python,1,33146,1,1,178800
2023-06-01 03:41:00.000,vk,cpc,prof-java,1,5038,1,1,178800
2023-06-01 19:39:00.000,yandex,cpc,prof-frontend,1,121756,1,1,167625
2023-06-01 11:34:00.000,yandex,cpc,base-python,1,5330,1,1,160920
2023-06-01 02:41:00.000,vk,cpc,prof-java,1,29598,1,1,151192
2023-06-01 08:39:00.000,yandex,cpc,prof-python,1,18599,1,1,151192
2023-06-01 08:39:00.000,yandex,cpc,prof-python,1,33109,1,1,151192
2023-06-06 14:18:14.517,telegram,cpp,base-java,1,0,1,1,151192
2023-06-07 16:18:04.418,telegram,cpp,base-java,1,0,1,1,151192
2023-06-09 13:35:13.923,telegram,cpp,base-java,1,0,1,1,151192
